ucname_file,error_flag,nome,Pré-Requisitos,Carga Horária Total,Carga Horária Prática,Carga Horária Teórica,Carga Horária Extensão
fenômenos de transporte,False,fenômenos de transporte,séries e equações diferenciais ordinárias; mecânica geral,72,0,72,0
fenômenos do contínuo,False,fenômenos do contínuo,não há,72,0,72,0
fenômenos do contínuo experimental,False,fenômenos do contínuo experimental,não há,36,36,0,0
fenômenos eletromagnéticos,False,fenômenos eletromagnéticos,não há,72,0,72,0
fenômenos eletromagnéticos experimental,False,fenômenos eletromagnéticos experimental,não há,36,36,0,0
fenômenos mecânicos,False,fenômenos mecânicos,não há,72,0,72,0
fenômenos mecânicos experimental,False,fenômenos mecânicos experimental,não há,36,36,0,0
fisiologia humana i,False,fisiologia humana,não há,72,12,60,0
fisiologia humana ii,False,fisiologia humana ii,fisiologia humana i,72,12,60,0
fisiopatologia cardiorrespiratória,False,fisiopatologia cardiorrespiratória,fisiologia humana i,72,0,72,0
fisiopatologia clínica dos sistemas humanos,False,fisiopatologia clínica dos sistemas humanos,fisiologia humana;,72,0,72,0
fundamentos de biologia moderna,False,fundamentos da biologia moderna,não há,72,0,72,0
fundamentos de engenharia bioquímica,False,fundamentos da engenharia bioquímica,matemática geral; física geral,72,0,72,0
fundamentos de matlab aplicado à engenharia,False,fundamentos do matlab aplicado a engenharia,não há,72,36,36,0
fundamentos de mecânica celeste,False,fundamentos da mecânica celeste,fenômenos mecânicos; séries e equações diferenciais ordinárias,72,10,62,0
funções analíticas,False,funções analíticas,cálculo em várias variáveis; séries e equações diferenciais ordinárias,72,10,62,0
física geral,False,física geral,fenômenos mecânicos,72,0,72,0
física moderna,False,física moderna,fenômenos mecânicos; fenômenos do contínuo; fenômenos eletromagnéticos,72,0,72,0
geometria analítica,False,geometria analítica,não há,72,8,64,0
gestão da inovação,False,gestão da inovação,não há,36,0,36,0
gestão de projetos,False,gestão de projetos,não há,36,0,36,0
imagens biomédicas,False,imagens biomédicas,análise de sinais; algoritmos em bioinformática,72,36,36,0
imunologia aplicada,False,imunologia aplicada,imunologia geral,72,0,72,0
imunologia geral,False,imunologia geral,biologia molecular da célula,72,0,72,0
inferência e análise de regressão,False,inferência e análise de regressão,probabilidade e estatística,72,16,56,0
instrumentos biomédicos i,False,instrumentos biomédicos,circuitos elétricos ii,72,0,72,0
instrumentos biomédicos ii,False,instrumentos biomédicos ii,circuitos elétricos ii,72,36,36,0
instrumentos eletromédicos,False,instrumentos eletromédicos,circuitos elétricos ii,72,12,60,0
inteligência artificial,False,inteligência artificial,algoritmos e estruturas de dados i,72,24,48,0
