"ucname_file","error_flag","nome","Pré-Requisitos","Carga Horária Total","Carga Horária Prática","Carga Horária Teórica","Carga Horária Extensão","id","group","topgen","size"
"metalurgia extrativa",False,"metalurgia extrativa","materiais metálicos, termodinâmica dos sólidos",36.0,0.0,36.0,0.0,156,"004","3",1.0
"metalurgia física",False,"metalurgia física","ciência e tecnologia dos materiais",72.0,0.0,72.0,0.0,157,"005","2",2.0
"metalurgia mecânica",False,"metalurgia mecânica","ciência e tecnologia dos materiais; resistência dos materiais",72.0,0.0,72.0,0.0,158,"004","3",2.0
"metodologia da pesquisa e comunicação ciêntífica",False,"metodologia da pesquisa e comunicação científica","não há",36.0,8.0,28.0,0.0,159,"000","",""
"microbiologia aplicada e industrial",False,"microbiologia aplicada e industrial","microbiologia geral",72.0,0.0,72.0,0.0,160,"006","1",1.0
"microbiologia geral",False,"microbiologia geral","não há",72.0,0.0,72.0,0.0,161,"007","0",3.0
"microeconomia",False,"microeconomia","não há",36.0,0.0,36.0,0.0,162,"007","0",2.0
"modelagem computacional",False,"modelagem computacional","lógica de programação; cálculo em uma variável",36.0,18.0,18.0,0.0,163,"006","1",1.0
"modelagem de dados",False,"modelagem de dados","não há",72.0,36.0,36.0,0.0,164,"000","",""
"modelagem molecular",False,"modelagem molecular","biologia estrutural",72.0,36.0,36.0,0.0,165,"004","3",1.0
"modelos animais",False,"modelos animais","biotecnologia animal",72.0,0.0,72.0,0.0,166,"006","1",1.0
"multimídia",False,"multimídia","algoritmos e estruturas de dados i",72.0,30.0,42.0,0.0,167,"005","2",1.0
"métodos avançados em processamento de imagens biomédicas",False,"métodos avançados em processamento de","análise de sinais",72.0,36.0,36.0,0.0,168,"004","3",1.0
"métodos estatísticos multivariados",False,"métodos estatísticos multivariados","probabilidade e estatística",72.0,36.0,36.0,0.0,169,"005","2",1.0
"métodos matemáticos para a engenharia",False,"métodos matemáticos para a engenharia","séries e equações diferenciais ordinárias; cálculo em várias variáveis",72.0,0.0,72.0,0.0,170,"005","2",1.0
"métodos numéricos para equações diferenciais",False,"métodos numéricos para equações diferenciais","cálculo numérico; álgebra linear; séries e equações diferenciais ordinárias",72.0,14.0,58.0,0.0,171,"005","2",1.0
"otimização inteira",False,"otimização inteira","otimização linear",72.0,10.0,62.0,0.0,172,"005","2",1.0
"otimização linear",False,"otimização linear","geometria analítica; lógica de programação",72.0,14.0,58.0,0.0,173,"006","1",2.0
"otimização não linear",False,"otimização não linear","cálculo em várias variáveis; cálculo numérico",72.0,14.0,58.0,0.0,174,"005","2",1.0
"paradigmas da programação",False,"paradigmas de programação","programação orientada a objetos",72.0,36.0,36.0,0.0,175,"004","3",1.0
"planejamento de experimentos",False,"planejamento de experimentos","probabilidade e estatística",72.0,36.0,36.0,0.0,176,"005","2",1.0
"probabilidade",False,"probabilidade","probabilidade e estatística; cálculo em várias variáveis",72.0,12.0,60.0,0.0,177,"005","2",1.0
"probabilidade e estatística",False,"probabilidade e estatística","cálculo em uma variável",72.0,16.0,56.0,0.0,178,"006","1",2.0
"processamento de imagens",False,"processamento de imagens","algoritmos e estruturas de dados i; séries e equações diferenciais ordinárias",72.0,24.0,48.0,0.0,179,"005","2",1.0
"processamento de materiais cerâmicos",False,"processamento de materiais cerâmicos","materiais cerâmicos",72.0,16.0,56.0,0.0,180,"004","3",2.0
